class,row,n_neighbors,max_abs_delta,mean_delta,any_flip,any_suspicious,any_protective
1,85059,1,0.29255279898643494,-0.29255279898643494,False,False,True
1,87658,1,0.16653507947921753,0.16653507947921753,False,True,False
1,88076,1,0.06426399946212769,-0.06426399946212769,False,False,True
1,88309,1,0.12427363730967045,-0.12427363730967045,False,False,True
1,88904,2,0.0693463385105133,-0.04295307397842407,False,False,True
1,92176,1,0.033933281898498535,-0.033933281898498535,False,False,True
1,94431,1,0.0016915202140808105,-0.0016915202140808105,False,False,True
1,94874,1,0.5654852092266083,-0.5654852092266083,False,False,True
1,94949,1,0.014392554759979248,-0.014392554759979248,False,False,True
1,95425,1,0.3398011326789856,-0.3398011326789856,True,False,True
1,96766,2,0.005360140698030591,-0.003526021959260106,False,False,True
1,97161,1,0.017824947834014893,0.017824947834014893,False,True,False
1,97629,1,0.05924701690673828,-0.05924701690673828,False,False,True
1,97729,1,0.3455658555030823,-0.3455658555030823,False,False,True
1,98163,1,0.017824947834014893,0.017824947834014893,False,True,False
1,98290,1,0.01651742123067379,0.01651742123067379,False,True,False
1,99548,1,0.09425526857376099,0.09425526857376099,False,True,False
1,100777,1,0.017915844917297363,-0.017915844917297363,False,False,True
1,102320,1,0.0008683204650878906,0.0008683204650878906,False,True,False
1,102444,1,0.018266037106513977,0.018266037106513977,False,True,False
1,102927,1,0.05469498038291931,0.05469498038291931,False,True,False
1,104074,1,0.17292481660842896,0.17292481660842896,True,True,False
1,107771,2,0.006701657082885504,-0.005096986424177885,False,False,True
1,107862,1,0.13112664222717285,0.13112664222717285,False,True,False
1,109044,1,0.0005052089691162109,0.0005052089691162109,False,True,False
1,109748,3,0.0002792163286358118,-0.00023550175440808138,False,False,True
1,111570,1,0.022662341594696045,-0.022662341594696045,False,False,True
1,111571,5,0.015575945377349854,-0.004490065574645996,False,False,True
1,111572,8,0.004372358322143555,-0.0008436888456344604,False,True,True
1,112043,1,0.0014116514939814806,-0.0014116514939814806,False,False,True
1,112368,2,0.014152944087982178,0.010677307844161987,False,True,False
1,112665,2,0.02155303955078125,-0.013625174760818481,False,False,True
1,115768,1,0.19890019297599792,0.19890019297599792,False,True,False
1,118151,2,0.02579563856124878,-0.01544363796710968,False,False,True
1,126736,1,0.0754692554473877,0.0754692554473877,False,True,False
1,129617,2,0.05197330750524998,-0.019287155009806156,False,True,True
1,129618,12,0.028390660881996155,-0.0018689535403003295,False,True,True
1,134393,1,0.03870970010757446,-0.03870970010757446,True,False,True
1,135318,1,0.00462682731449604,0.00462682731449604,False,True,False
1,139343,13,0.012801699340343475,-0.000683227195762671,False,True,True
1,141018,1,0.029650598764419556,0.029650598764419556,False,True,False
1,143697,1,0.1849814923480153,-0.1849814923480153,False,False,True
1,143717,1,0.28268253803253174,-0.28268253803253174,False,False,True
1,144444,1,0.0007085204124450684,0.0007085204124450684,False,True,False
1,148480,1,0.511581152677536,0.511581152677536,False,True,False
1,150306,1,0.000732719898223877,0.000732719898223877,False,True,False
1,153653,1,0.011450707912445068,0.011450707912445068,False,True,False
1,154707,1,0.06189453601837158,-0.06189453601837158,False,False,True
1,155496,1,0.050976308062672615,-0.050976308062672615,False,False,True
1,156726,1,0.13170897960662842,0.13170897960662842,False,True,False
1,158841,1,0.017824947834014893,0.017824947834014893,False,True,False
1,159997,2,0.030456513166427612,-0.009716913104057312,False,True,True
1,162928,1,0.32876455783843994,-0.32876455783843994,False,False,True
1,163608,1,0.013833999633789062,-0.013833999633789062,False,False,True
1,165429,3,0.0036062272265553474,0.0006423828502496084,False,True,True
1,168435,2,0.01815122365951538,-0.008718207478523254,False,True,True
1,173231,1,0.3430374264717102,0.3430374264717102,False,True,False
1,176866,2,0.006003260612487793,-0.0036207735538482666,False,False,True
1,177767,1,0.012605547904968262,0.012605547904968262,False,True,False
1,178656,1,0.6253400444984436,-0.6253400444984436,False,False,True
1,179707,2,0.0309908390045166,-0.013607531785964966,False,True,True
1,179885,1,0.017824947834014893,0.017824947834014893,False,True,False
1,180653,1,0.056435585021972656,-0.056435585021972656,False,False,True
1,185803,1,0.24244177341461182,-0.24244177341461182,False,False,True
1,186169,2,0.011717140674591064,-0.008589297533035278,False,False,True
1,187342,1,0.0002123471349477768,-0.0002123471349477768,False,False,True
1,188832,2,0.0028349757194519043,-0.0010274946689605713,False,True,True
1,189193,2,0.03066958487033844,-0.014556333422660828,False,True,True
1,191415,1,0.0024581062607467175,-0.0024581062607467175,False,False,True
1,192588,1,0.000732719898223877,0.000732719898223877,False,True,False
1,195740,1,0.015607530251145363,-0.015607530251145363,False,False,True
1,196822,1,0.000732719898223877,0.000732719898223877,False,True,False
1,198008,1,0.15484008193016052,-0.15484008193016052,False,False,True
1,198589,1,0.22026244923472404,-0.22026244923472404,False,False,True
1,199123,1,0.24992471933364868,0.24992471933364868,False,True,False
1,206144,2,0.03297531604766846,-0.0245341956615448,False,False,True
1,210318,1,0.03271448612213135,-0.03271448612213135,False,False,True
1,212285,1,0.09487402439117432,0.09487402439117432,True,True,False
1,212613,1,0.36065608263015747,-0.36065608263015747,False,False,True
1,212839,3,0.013168249279260635,-0.005809895694255829,False,True,True
1,213518,1,0.000732719898223877,0.000732719898223877,False,True,False
1,219648,1,0.13025641441345215,0.13025641441345215,False,True,False
