neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
14MwKXt77b5HiVmXXwbDjaV3UTDwUgQuZ9,1,0.0189969539642334,0.0189969539642334,0.0189969539642334
1KEz8TcfKPeq8qA3dPhFmTQx2umyh2yRDa,2,0.018618129193782806,0.009309064596891403,-0.009309064596891403
1EaF8hf8gWgcACjej4LbKyw4EKCramQmiR,1,0.01851840317249298,0.01851840317249298,-0.01851840317249298
3KHQYoaHMiDB2wsdcfsXCSJeE7woQ6GriH,1,0.0181119441986084,0.0181119441986084,-0.0181119441986084
33GrBTaXsyBSfyeKaQSbBbyFBn2wiV8JGd,1,0.01784844882786274,0.01784844882786274,-0.01784844882786274
1ETyev2YxXFRRrF3Sb3y4JYKtEE3ftL293,1,0.017547771334648132,0.017547771334648132,-0.017547771334648132
3GRk2DcHrfqpB7DA6bGHCaV7V2jmKSsM7g,1,0.01730865240097046,0.01730865240097046,-0.01730865240097046
184ppwACtrAwHtwEunitcDTJTGjtND9zSH,1,0.01709294319152832,0.01709294319152832,-0.01709294319152832
3Fq94XUnbnbSt6HWuNEEDMqnZkagvkaRXb,1,0.01664060354232788,0.01664060354232788,-0.01664060354232788
1DtWsQmEWh1LcJjR14TFPVBLVJFaVLnif1,1,0.016607556492090225,0.016607556492090225,0.016607556492090225
1BpAh5B7C5xuf3DPfkuedWXsvbtGyUkmdu,1,0.01632717251777649,0.01632717251777649,-0.01632717251777649
1B8fmorWPcFyGGHri81Wrj19pDGoFjJs4t,1,0.016199346631765366,0.016199346631765366,-0.016199346631765366
1D3hJYUeebLsmxtjDnzvWwaumax1ipefBa,1,0.01616990566253662,0.01616990566253662,-0.01616990566253662
3Am8uxB9RBnHk2uBpapYBPxofVK4zJySQX,1,0.01615983247756958,0.01615983247756958,0.01615983247756958
1ESwcSQakENn8PnPesqpvRimPS4UQYAayZ,1,0.015976205468177795,0.015976205468177795,-0.015976205468177795
37rmdmN7hHRWb8b6Xvzsj6L5zmhsXjJKec,1,0.015873730182647705,0.015873730182647705,-0.015873730182647705
1GBVyC4n7ytZJicQjKB7oTD9HmyVvaK5xF,1,0.015870124101638794,0.015870124101638794,-0.015870124101638794
14Xzu4GQegnhYVQ44Nt8Sd7sCrd2UC57cp,1,0.01547098159790039,0.01547098159790039,0.01547098159790039
1KNUpuWaPpozPvoJXUEP75rpPEy4HZzcqS,1,0.015444217249751091,0.015444217249751091,-0.015444217249751091
1NrpXy6x8SZAWfLGZ2nnDZZuGsj59BKxtz,1,0.01467818021774292,0.01467818021774292,-0.01467818021774292
1816RaasK5ALaRreqiDu71V24NAexYGAaL,2,0.014472126960754395,0.007236063480377197,-0.007236063480377197
1JPVo8Jo4CT8LoPmDibjeumAsmVkvzGh4N,1,0.014450624585151672,0.014450624585151672,0.014450624585151672
1BeMxB9sS5gAnKYUJuSTms39PQBEipDEYS,1,0.013981632888317108,0.013981632888317108,-0.013981632888317108
1Dd4oF92npCRg7odtWYyPevo92dQ7CGojK,1,0.013956636190414429,0.013956636190414429,-0.013956636190414429
1721nmvVbLXY57UBLKzUT1PoYd9v9Y8Xus,1,0.01343393325805664,0.01343393325805664,-0.01343393325805664
14pPG8TmtdMtvCTUDrHe7GJVxYBQkLykyk,1,0.013362904079258442,0.013362904079258442,0.013362904079258442
15DfNzRJw5TE7rSftM8gCSSopE7t5M56L3,1,0.013336718082427979,0.013336718082427979,-0.013336718082427979
1asrsnCiseKwF1cKqRvsszHnq6FUYuAX7,1,0.012887299060821533,0.012887299060821533,0.012887299060821533
1AtsM6CEXtPKyYAEr6r7MnVeUafPz93hc7,2,0.012691855430603027,0.006345927715301514,-0.006345927715301514
1KfNpZTbam5dLXuGzFeCEX1ecbzkWx8Tv2,1,0.012641966342926025,0.012641966342926025,-0.012641966342926025
19txq91QziDSYfr5M3WwETThk4WnSH9FXU,1,0.01245877891778946,0.01245877891778946,-0.01245877891778946
3JwrLWjLai27iSAyN2KFotowLcAarGv94L,1,0.01229923963546753,0.01229923963546753,-0.01229923963546753
19boad6B5Wv24K95Nu2ZyvYE9vi5SU2Yj5,1,0.01216992735862732,0.01216992735862732,-0.01216992735862732
13dB5rpANbJjznNF7zDL7jFGzznc3SK3aU,1,0.011854231357574463,0.011854231357574463,0.011854231357574463
129EZEk9iu73adHScv3Qu4QibtsTAWSrus,1,0.011834561824798584,0.011834561824798584,-0.011834561824798584
1BRnBXZ9CZuDxTNfNNAkvoDSS18R6f7KFf,1,0.010960936546325684,0.010960936546325684,-0.010960936546325684
