neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
14yEMDi68H8Ei4Rq7dhfvWdAF3dU3iM48L,1,0.018720805644989014,0.018720805644989014,-0.018720805644989014
1Dmfzx6t7wqbUw2tRg1RPVf77RSQqxDf6Z,1,0.018604636192321777,0.018604636192321777,0.018604636192321777
3BU7pDGrxi1tRLuhwJeddw6yag8CSGv5PT,1,0.018517792224884033,0.018517792224884033,-0.018517792224884033
3GRk2DcHrfqpB7DA6bGHCaV7V2jmKSsM7g,1,0.018342196941375732,0.018342196941375732,-0.018342196941375732
1DCsSV3zHRDMgxqGqimNumA81f4GKJUmba,1,0.017730712890625,0.017730712890625,-0.017730712890625
1HK4LDW2Ct4oiqbCxiR67XfE7pekKqFwqf,1,0.017279863357543945,0.017279863357543945,-0.017279863357543945
1E235xTx9Q2sGygH4eHHhLZ1n18qRF9zRT,1,0.0170842707157135,0.0170842707157135,-0.0170842707157135
1HiydHrexzDiCQ99PJ4JySC9YPkKTWDDjF,1,0.01707497239112854,0.01707497239112854,-0.01707497239112854
1HKrstBUg1QjkgRJWHEixDnPdYCmhMJsqz,1,0.017062127590179443,0.017062127590179443,-0.017062127590179443
1BpAh5B7C5xuf3DPfkuedWXsvbtGyUkmdu,1,0.016947686672210693,0.016947686672210693,-0.016947686672210693
1ESwcSQakENn8PnPesqpvRimPS4UQYAayZ,1,0.0168440043926239,0.0168440043926239,-0.0168440043926239
1GBVyC4n7ytZJicQjKB7oTD9HmyVvaK5xF,1,0.01681259274482727,0.01681259274482727,-0.01681259274482727
1FRCAsP1c12HCjgGdTYDgwLnrwyA6dFwRE,1,0.016541951335966587,0.016541951335966587,-0.016541951335966587
1764h5LFJk1kEHxViPn5Z6GKRviuCmXmq7,1,0.016093075275421143,0.016093075275421143,-0.016093075275421143
1MnaTZEoFJaXZcXmJw4vVXNfCmKQmW3Upd,1,0.015803217887878418,0.015803217887878418,0.015803217887878418
1MxJLAQnaJvBT2S5xu7GXJRvGCY3UYD5DX,1,0.015788137912750244,0.015788137912750244,-0.015788137912750244
1H1WS2tFx5yCsxtefs9PSTdqVX2mduyf3b,2,0.015352943912148476,0.007676471956074238,0.007676471956074238
1CCn9buMG1LhDNiHVCfnb6biiYhdcYSfyr,1,0.014392554759979248,0.014392554759979248,-0.014392554759979248
1BFqMBaQB9PjWczRUYUAmifGkD2dEejRaL,1,0.014152944087982178,0.014152944087982178,0.014152944087982178
1nyfMgCoecGXCF9RTfVwGkGZYN9V4jCoh,1,0.013759136199951172,0.013759136199951172,-0.013759136199951172
1EaF8hf8gWgcACjej4LbKyw4EKCramQmiR,1,0.013386249542236328,0.013386249542236328,-0.013386249542236328
1BSQhuxTACyQukfgv4T2kSok9V1CY67bjn,1,0.013168249279260635,0.013168249279260635,-0.013168249279260635
