class,row,n_neighbors,max_abs_delta,mean_delta,any_flip,any_risk_increasing,any_protective
1,191415,1,0.0014031995087862015,0.0014031995087862015,False,True,False
1,192588,1,0.007549464702606201,-0.007549464702606201,False,False,True
1,195740,1,0.14717431366443634,0.14717431366443634,False,True,False
1,196822,1,0.007549464702606201,-0.007549464702606201,False,False,True
1,198008,1,0.20951509475708008,0.20951509475708008,False,True,False
1,198589,1,0.14634909480810165,-0.14634909480810165,False,False,True
1,199123,1,0.4327462762594223,-0.4327462762594223,False,False,True
1,206144,2,0.07609765231609344,-0.04100486636161804,False,False,True
1,210318,1,0.2558498978614807,-0.2558498978614807,False,False,True
1,212285,1,0.05424666404724121,0.05424666404724121,True,True,False
1,212613,1,0.19564887881278992,-0.19564887881278992,False,False,True
1,212839,3,0.015444217249751091,-0.008062322934468588,False,True,True
1,213518,1,0.007549464702606201,-0.007549464702606201,False,False,True
1,219648,1,0.5444669127464294,0.5444669127464294,False,True,False
1,220036,2,0.3176005780696869,-0.11534436047077179,False,True,True
